chief_complaint_id,n_body_areas,body_areas_list,n_symptoms,symptoms_list,n_diff_dx,diff_dx_list
175,1.0,Chest,,,18.0,"Atypical pneumonia (lung infection),Bronchiectasis (bronchial tube inflammatory damage),Bronchiolitis (bronchial tube inflammation),Lung abscess (collection of pus),Pneumonia (lung infection),Swine Flu (H1N1 Influenza),Coccidiomycosis (valley fever, fungal infection),Bird flu (avian influenza),Influenza (seasonal flu),Croup (upper airway inflammation),Respiratory syncytial virus (RSV, pediatric respiratory infection),Bronchitis (bronchial tube infection),Pulmonary embolism (blood clot in the lungs),Histoplasmosis (fungal infection),Sepsis (serious blood infection),Dressler syndrome (heart sac inflammation following heart attack or heart surgery),Q fever (flu-like bacterial illness),Upper respiratory tract infection (URI, common cold)"
176,1.0,Hands,1.0,Hand numbness (paresthesias),28.0,"Carpal tunnel syndrome (wrist nerve compression),Cerebral vascular accident (stroke),Compartment syndrome (increased pressure inside muscles),Guillain Barre syndrome (ascending muscle weakness),Hyperventilation (rapid breathing),Lyme disease (bacterial infection from ticks),Multiple sclerosis (MS),Peripheral neuropathy (nerve damage),Thoracic outlet syndrome (nerve, blood vessel compression),Transverse myelitis (spinal cord inflammation),Traumatic nerve injury,West Nile virus infection (mosquito-transmitted illness),Cubital tunnel syndrome (nerve compression in the elbow),Diabetes (high blood sugar),Brachial plexus injury (shoulder nerve injury),Fracture (broken bone),Frostbite (tissue damage from cold),Cervical myelopathy (spinal cord compression),Cervical radiculopathy (pinched nerve in neck),Cervical spine stenosis (narrowing of spinal canal),Cervical spondylosis (neck arthritis),Peripheral vascular disease (blocked blood vessels),Alcoholism,Lead poisoning (toxicity),Spondylolisthesis (slipped back bone),Cancer (tumor),Medication reaction,Raynaud's disease (blood vessel constriction)"
177,2.0,"Legs,Feet",1.0,Ankle pain,17.0,"Ankle fracture (broken ankle),Tendonitis (tendon inflammation),Gout (uric acid crystals in the joint causing inflammation),Pseudogout (calcium deposit arthritis),Spondylolisthesis (slipped back bone),Herniated disc (slipped disc, ruptured disc),Cancer (tumor),Muscle tear,Osteoarthritis (bone inflammation),Ankle sprain,Septic arthritis (joint infection),Achilles tendon rupture (heel tendon tear),Achilles tendonitis (heel tendon inflammation),Arthritis (joint inflammation),Bone cancer (bone tumor),Sarcoma (soft tissue cancer),Deep venous thrombosis (DVT, venous blood clot)"
178,2.0,"Chest,Head",2.0,"Hemoptysis (Coughing blood),Coughing blood",14.0,"Bronchiectasis (bronchial tube inflammatory damage),Bronchitis (bronchial tube infection),Lung cancer (tumor),Pulmonary embolism (blood clot in the lungs),Pneumonia (lung infection),Wegener's granulomatosis (granulomatosis with polyangiitis,  blood vessel disease),Lung abscess (collection of pus),Hemophilia (inherited bleeding disorder),Warfarin (Coumadin, Jantoven) overdose,Tonsillitis (tonsil infection),Goodpasture syndrome (disease of kidneys and lungs),Small cell lung cancer,Large cell lung cancer,Squamous cell lung cancer"
179,8.0,"Abdomen,Eyes,Legs,Skin,Arms,Back,Head,Chest",2.0,"Jaundice (Yellowing skin),Yellow skin",21.0,"Hepatitis (liver inflammation),Autoimmune disease,Primary sclerosing cholangitis (bile duct disease),Cholecystitis (inflammation of the gallbladder),Q fever (flu-like bacterial illness),Choledocholithiasis (stone in bile duct),Cholelithiasis (gallstones),Pancreatic cancer (tumor),Alcoholism,Malaria (mosquito transmitted illness),Cholangitis (inflammation of the bile ducts),Sclerosing cholangitis (progressive bile duct disease ),Wilsons disease (copper accumulation in tissues),Hemochromatosis (excess iron disorder),Cirrhosis (liver failure and scarring),Gilbert's disease (liver abnormality),Newborn jaundice (newborn skin discoloration),Hemolytic anemia (red blood cell destruction disorder),Gallbladder and bile duct cancer,Hepatitis A,Gallbladder cancer"
18,2.0,"Buttock/Rectum,Abdomen",3.0,"Dark stools,Black stools,Tarry stools",13.0,"Crohn's disease (regional enteritis, Crohn's colitis, intestinal inflammation),Esophageal varices (dilation of esophageal veins),Henoch Schönlein purpura (blood vessel inflammation),Gastritis (stomach inflammation),Intussusception (telescoping intestine),Mallory Weiss syndrome (esophageal tear),Meckel's diverticulum (bulge in small intestine),Small bowel lymphoma (intestinal lymph node cancer),Volvulus (twisted intestine),Warfarin (Coumadin) use,Pepto Bismol or Kaopectate ingestion (bismuth),Cancer (tumor),Intestinal ischemia (decreased intestinal blood flow)"
180,,,2.0,"Night sweats,Sweating at night",11.0,"Endocarditis (heart valve infection),Hodgkin's disease (cancer of the lymph system),Lymphoma (lymph node cancer),HIV AIDS (Human Immunodeficiency Virus, Acquired Immune Deficiency Syndrome),Leukemia (blood cell cancer),Menopause (end of menstruation and fertility),Osteomyelitis (bone infection),Pheochromocytoma (adrenal gland tumor),Coccidiomycosis (valley fever, fungal infection),Hyperthyroidism (elevated thyroid hormone),Cancer (tumor)"
181,2.0,"Buttock/Rectum,Abdomen",2.0,"Flatulence (Passing gas),Gas",9.0,"Celiac disease (celiac sprue),Irritable bowel syndrome (IBS, chronic intestinal pain and cramping),Giardiasis (giardia infection),Malabsorption syndrome (abnormal intestinal digestion),Campylobacter infection (intestinal bacterial infection),Shigellosis (bacterial intestinal infection),Salmonella infection (common bacterial intestinal infection),Gastroesophageal reflux (GERD, heartburn),Crohn's disease (regional enteritis, Crohn's colitis, intestinal inflammation)"
182,,,,,2.0,"Abrasions (scrapes),AC (acromioclavicular) joint separation"
183,2.0,"Chest,Face",1.0,Blister (Pocket of fluid),15.0,"Overuse syndrome (injury from repetitive activity),Sunburn,Burns,Chemical burn,Herpes simplex infection (viral infection),Impetigo (bacterial skin infection),Chicken pox (varicella virus),Steven Johnson syndrome (rare, serious skin disorder),Drug reaction,Sun poisoning,Frostbite (tissue damage from cold),Skin blood vessel damage (Chilblains, pernio),Porphyria (rare disorder of skin, nervous system),Pemphigus (rare skin disorder),Pemphigoid"
186,1.0,Head,2.0,"Hair loss (Baldness),Alopecia (Hair loss)",3.0,"Hair loss (alopecia),Male pattern hair loss (hereditary-patterned baldness),Hypoparathyroidism"
187,4.0,"Head,Face,Mouth,Throat",1.0,Jaw pain,16.0,"Temporomandibular joint syndrome (TMJ, jaw joint pain),Bruxism (teeth grinding),Sinusitis (sinus infection),Dental caries (cavities),Mouth trauma (injury),Parotitis (salivary gland inflammation),Tetanus (lockjaw),Trigeminal neuralgia (facial nerve pain),Myocardial infarction (heart attack),Cancer (tumor),Dental abscess (tooth infection),Migraine (type of headache),Mumps (viral infection involving salivary glands),Shingles (herpes zoster),Ludwigs angina (severe infection in the floor of the mouth and neck),Broken jaw (mandible fracture)"
188,1.0,Pelvis,1.0,Impotence,16.0,"Erectile dysfunction (ED),Alcoholism,Cirrhosis (liver failure and scarring),Renal failure, chronic (ongoing kidney failure),Spinal cord injury, acute,Hypertension (high blood pressure),Diabetes (high blood sugar),Multiple sclerosis (MS),Stress,Depression (excessive sadness),Cushing disease (excessive pituitary gland hormones),Hypothyroidism (low thyroid hormone),Male infertility,Peyronie's disease (abnormal curvature of the penis),Paraphimosis,Testicular hypofunction"
189,1.0,Chest,1.0,Heart murmur (Abnormal heart sound),15.0,"Anemia (low red blood cell count),Aortic valve stenosis (tight heart valve),Endocarditis (heart valve infection),Myocardial infarction (heart attack),Pregnancy,Fever (elevated temperature),Hypertrophic cardiomyopathy (thickened heart muscle),Rheumatic fever (complication of strep infection),Mitral valve prolapse (abnormal heart valve),Congenital heart disease (heart defect at birth),Marfan syndrome (rare inherited disease),Valvular heart disease (abnormal heart valves),Aortic regurgitation (leaking heart valve),Mitral regurgitation (leaking heart valve),Mitral stenosis (tight heart valve)"
19,2.0,"Head,Other",4.0,"Depressed,Sadness,Feeling down,Unhappy",29.0,"Substance abuse,Bipolar disorder (manic depressive disorder),Major depressive disorder (severe depression),Post-traumatic stress disorder (PTSD),Depression (excessive sadness),Hypothyroidism (low thyroid hormone),Adjustment disorder (poor adjustment to life stressor),Alcoholism,Anxiety disorder (generalized anxiety disorder, GAD),Benzodiazepine (Valium) abuse,Chronic pain,Cocaine abuse,Drug reaction,False pregnancy,Menopause (end of menstruation and fertility),Narcotic (morphine, heroin) abuse,Obsessive compulsive disorder (OCD, anxiety disorder),Panic disorder,Personality disorder (unhealthy patterns of thinking and behavior),Phobias (irrational fear),Prescription drug abuse,Schizoaffective disorder (features of schizophrenia and mood disorder),Schizophrenia (chronic impaired reality perception),Stress,Attention deficit hyperactivity disorder (ADHD),Obesity,Dysthymia (depression, dysthymic disorder),Huntington disease (chorea),Failure to thrive - adult"
190,2.0,"Chest,Face",2.0,"Pustule (Collection of pus),Collection of pus",8.0,"Impetigo (bacterial skin infection),Hordeolum (stye of eye),Smallpox (Variola virus infection),Chicken pox (varicella virus),Behcets disease (small blood vessel inflammation disorder),Staphylococcus aureus (type of bacteria),Folliculitis (hair follicle infection),Skin abscess (collection of pus)"
191,4.0,"Chest,Neck,Hands,Hips",3.0,"Skin pain,Painful skin,Sore skin",19.0,"Acne (pimples),Folliculitis (hair follicle infection),Skin abscess (collection of pus),Cellulitis (skin infection),Chemical burn,Diphtheria infection (bacterial respiratory infection),Psoriasis (scaly skin disease),Scabies (skin disease caused by mites),Necrotizing fasciitis (life-threatening infection),Shingles (herpes zoster),Sunburn,Poison ivy (poison oak, poison sumac),Bee sting (wasp sting),Fibromyalgia (chronic pain disorder),Carbuncle,Boil (pus-filled lump),Diabetic neuropathy (nerve damage),Dermatofibroma,Keloid (overgrown scar)"
192,1.0,Legs,2.0,"Hot skin,Warm skin",12.0,"Folliculitis (hair follicle infection),Skin abscess (collection of pus),Cellulitis (skin infection),Necrotizing fasciitis (life-threatening infection),Sunburn,Carbuncle,Boil (pus-filled lump),Anticholinergic overdose,Benadryl (diphenhydramine) overdose,Heat exhaustion,Heat rash,Heat stroke"
193,3.0,"Ear	Nose,Face,Chest",2.0,"Skin swelling,Swollen skin",13.0,"Anaphylaxis (severe/life threatening allergic reaction),Urticaria (hives),Poison ivy (poison oak, poison sumac),Chemical burn,Folliculitis (hair follicle infection),Skin abscess (collection of pus),Cellulitis (skin infection),Necrotizing fasciitis (life-threatening infection),Sunburn,Bee sting (wasp sting),Carbuncle,Boil (pus-filled lump),Angioedema (swelling of skin, lips, eyes)"
194,1.0,Mouth,2.0,"Lip swelling,Swollen lip",14.0,"ACE inhibitor induced cough (blood pressure medication side effect),Anaphylaxis (severe/life threatening allergic reaction),Anaphylactoid reactions (pseudo allergic reaction),Allergic reaction,Angioedema (swelling of skin, lips, eyes),Herpes stomatitis (viral mouth infection),Bee sting (wasp sting),Kawasaki disease (pediatric blood vessel disease),Steven Johnson syndrome (rare, serious skin disorder),Squamous cell cancer (common skin cancer),Impetigo (bacterial skin infection),Cellulitis (skin infection),Trauma,Food allergy"
195,1.0,Eyes,2.0,"Eye swelling,Swollen eye",12.0,"ACE inhibitor induced cough (blood pressure medication side effect),Angioedema (swelling of skin, lips, eyes),Allergic reaction,Steven Johnson syndrome (rare, serious skin disorder),Trauma,Periorbital cellulitis (infection around eye),Orbital cellulitis (soft tissue eye infection),Blepharitis (eyelid swelling),Conjunctivitis (pink eye),Hordeolum (stye of eye),Retinoblastoma (pediatric eye cancer),Tear duct infection (Dacryocystitis)"
196,1.0,Feet,2.0,"Foot swelling,Swollen foot",22.0,"Cancer (tumor),Cellulitis (skin infection),Contusion (bruise, ecchymosis),Deep venous thrombosis (DVT, venous blood clot),Foot fracture (broken foot),Gout (uric acid crystals in the joint causing inflammation),Pseudogout (calcium deposit arthritis),Septic arthritis (joint infection),Sprain (stretched, torn ligament),Vasculitis (inflammation of the arteries),Overuse syndrome (injury from repetitive activity),Puncture wound, foot,Rheumatoid arthritis (type of chronic joint inflammation),Congestive heart failure (CHF),Necrotizing fasciitis (life-threatening infection),Renal failure, acute (sudden kidney failure),Hypothyroidism (low thyroid hormone),Athlete's foot (tinea pedis),Muscle tear,Bone cancer (bone tumor),Sarcoma (soft tissue cancer),Foot sprain"
197,1.0,Eyes,2.0,"Visual flashing lights,Flashes of light",8.0,"Optic neuritis (optic nerve inflammation),Multiple sclerosis (MS),Posterior vitreous detachment (common eye abnormality),Detached retina (retinal detachment),Transient ischemic attack (TIA, reversible stroke),Migraine (type of headache),Seizure (abnormal brain electrical activity),Focal seizure (partial seizure)"
198,1.0,Eyes,1.0,Eye floaters,5.0,"Detached retina (retinal detachment),Posterior vitreous detachment (common eye abnormality),Diabetes (high blood sugar),Leukemia (blood cell cancer),Lymphoma (lymph node cancer)"
199,1.0,Pelvis,4.0,"Amenorrhea (No menstruation),Missed periods,Irregular periods (Irregular menses),Skipped periods",18.0,"Pregnancy,Stress,Polycystic ovarian syndrome (PCOS, female hormonal disorder),Anorexia (eating disorder),Bulimia nervosa (binge eating, vomiting),Hypothyroidism (low thyroid hormone),Pituitary tumor,Menopause (end of menstruation and fertility),Hyperthyroidism (elevated thyroid hormone),Sarcoidosis (inflammatory disease),Malnutrition,Depression (excessive sadness),Birth control pill use,Early menopause (premature ovarian failure),Mayer Rokitansky Küster Hauser syndrome (MRKH, inherited vaginal abnormality),Obesity,Medication reaction,Turner syndrome (gonadal dysgenesis)"
2,3.0,"Abdomen,Pelvis,Lower Back",2.0,"Lower abdominal pain,Lower belly pain",46.0,"Appendicitis,Colonic diverticulitis (inflammation of pouches in the large intestine),Ectopic pregnancy (tubal pregnancy),Inguinal hernia (groin hernia),Ovarian cyst (female organ fluid collection),Ovarian torsion (twisting of the ovary),Pelvic inflammatory disease (PID, female reproductive organ infection),Premenstrual syndrome (PMS),Bladder infection (cystitis, UTI, urinary tract infection),Urine retention (inability to urinate),Kidney stone (nephrolithiasis),Diverticulosis (weakening of the large intestine wall),Constipation,Crohn's disease (regional enteritis, Crohn's colitis, intestinal inflammation),Endometriosis (uterine tissue outside the uterus),Ulcerative colitis (large intestine inflammation),Celiac disease (celiac sprue),Irritable bowel syndrome (IBS, chronic intestinal pain and cramping),Lactose intolerance,Ventral hernia (bulging of the abdominal wall),Abdominal trauma,Alcoholism,Allergic reaction,Bacterial vaginosis (vaginal infection),Cervical cancer (tumor),Cervicitis (inflammation of the lower uterus),Cholecystitis (inflammation of the gallbladder),Cholelithiasis (gallstones),Contusion (bruise, ecchymosis),Endometritis (inflammation of the uterus),Fibromyalgia (chronic pain disorder),Gastroenteritis (intestinal infection),Gastroesophageal reflux (GERD, heartburn),Hernia,Ligament sprain (connection between two bones),Miscarriage,Multiple pregnancy (twins, triplets, etc),Pancreas inflammation (pancreatitis, chronic),Placenta previa (placenta covers cervix),Pyelonephritis (kidney infection),Sexually transmitted disease (STD),Trichomonas vaginalis infection (vaginal infection),Vaginitis (vaginal infection inflammation),HIV AIDS (Human Immunodeficiency Virus, Acquired Immune Deficiency Syndrome),Umbilical hernia (belly button hernia),Extragonadal germ cell tumors"
20,3.0,"Buttock/Rectum,Abdomen,Pelvis",2.0,"Diarrhea,Loose stools",31.0,"Bacterial dysentery (bacterial infection of the intestines),Crohn's disease (regional enteritis, Crohn's colitis, intestinal inflammation),Cytomegalovirus infection (CMV viral infection),E. coli infection (Escherichia coli, bacterial infection),Irritable bowel syndrome (IBS, chronic intestinal pain and cramping),Malabsorption syndrome (abnormal intestinal digestion),Pancreas inflammation (pancreatitis, chronic),Rotavirus infection (intestinal viral infection),Salmonella infection (common bacterial intestinal infection),Typhoid fever (salmonella typhi infection from contaminated food or water),Ulcerative colitis (large intestine inflammation),Celiac disease (celiac sprue),Clostridium difficile (C. Diff),Food poisoning,Lactose intolerance,Listeria (serious bacterial illness),Colonic diverticulitis (inflammation of pouches in the large intestine),Colon cancer (large intestine tumor),Gastroenteritis (intestinal infection),Gastrointestinal bleeding (stomach, intestine bleeding),Giardiasis (giardia infection),Rectal cancer (tumor),Shigellosis (bacterial intestinal infection),Viral infections,HIV AIDS (Human Immunodeficiency Virus, Acquired Immune Deficiency Syndrome),Medication reaction,Food allergy,Neuroblastoma,Traveler's diarrhea (Montezuma's revenge),Tropical sprue,Amyloidosis"
200,2.0,"Eyes,Head",2.0,"Blurry vision,Trouble seeing",9.0,"Acute angle closure glaucoma (increased inner eye pressure),Corneal abrasion (scrape on eye),Corneal foreign body (object in the eye),Glaucoma (elevated eye pressure),Migraine (type of headache),Optic neuritis (optic nerve inflammation),Orbital cellulitis (soft tissue eye infection),Orbital mass (growth near the eye),Uveitis (iritis, eye inflammation)"
201,,,,,22.0,"Dysfunctional uterine bleeding (abnormal vaginal bleeding),Gastrointestinal bleeding (stomach, intestine bleeding),Colon cancer (large intestine tumor),Renal failure, chronic (ongoing kidney failure),Pregnancy,Sickle cell disease (disease of red blood cells),Thalassemia (Mediterranean anemia, inherited blood disorder),Alcoholism,Hypothyroidism (low thyroid hormone),Cancer (tumor),HIV AIDS (Human Immunodeficiency Virus, Acquired Immune Deficiency Syndrome),Cirrhosis (liver failure and scarring),Lead poisoning (toxicity),Anorexia nervosa (eating disorder),Malaria (mosquito transmitted illness),Parasite infections,Iron deficiency anemia (low red blood cell count),Aplastic anemia (bone marrow failure),Hemolytic anemia (red blood cell destruction disorder),Pernicious anemia (vitamin deficiency blood disorder),Malnutrition,Multiple myeloma (blood cancer)"
202,1.0,Mouth,2.0,"Painful gums,Gum pain",10.0,"Dental abscess (tooth infection),Dry socket (pain after tooth removal),Periodontitis (gum inflammation),Pulpitis (dental root inflammation),Gingivitis (inflammation of the gums),Behcets disease (small blood vessel inflammation disorder),Burning mouth syndrome,Dentures,Hand foot and mouth disease (Coxsackie virus),Thrush (oral candidiasis)"
203,1.0,Mouth,2.0,"Swollen gums,Gum swelling",10.0,"Behcets disease (small blood vessel inflammation disorder),Dental abscess (tooth infection),Gingivitis (inflammation of the gums),Thrush (oral candidiasis),Periodontitis (gum inflammation),Mouth cancer (oropharyngeal cancer),Dentures,Malnutrition,Allergic reaction,Herpes stomatitis (viral mouth infection)"
204,,,1.0,Low blood sugar,13.0,"Addison's disease (adrenal insufficiency),Insulin overdose,Malnutrition,Alcoholism,Cirrhosis (liver failure and scarring),Diabetes (high blood sugar),Liver cancer (tumor),Reyes syndrome (rare liver and brain swelling),Narcotic (morphine, heroin) overdose,Sepsis (serious blood infection),Hypothyroidism (low thyroid hormone),Renal failure, acute (sudden kidney failure),Medication reaction"
205,,,1.0,Low blood pressure,21.0,"Dehydration,Pulmonary embolism (blood clot in the lungs),Sepsis (serious blood infection),Congestive heart failure (CHF),Toxic shock syndrome (life-threatening bacterial infection complication),Abdominal aortic aneurysm (enlarged major blood vessel),Pancreatitis (pancreas inflammation),Pregnancy,Addison's disease (adrenal insufficiency),Hypothyroidism (low thyroid hormone),Malnutrition,Anaphylaxis (severe/life threatening allergic reaction),Aortic valve stenosis (tight heart valve),Aortic regurgitation (leaking heart valve),Necrotizing fasciitis (life-threatening infection),Congenital heart disease (heart defect at birth),Gastrointestinal bleeding (stomach, intestine bleeding),Valvular heart disease (abnormal heart valves),Myocardial infarction (heart attack),Medication reaction,Hypoparathyroidism"
206,2.0,"Arms,Back",3.0,"Darkening of the skin (Hyperpigmentation),Hyperpigmentation (Darkening skin),Skin darkening",14.0,"Addison's disease (adrenal insufficiency),Mongolian spots (blue birthmark),Moles (nevi),Melanoma (skin cancer),Systemic sclerosis (scleroderma, progressive soft tissue hardening),Polycystic ovarian syndrome (PCOS, female hormonal disorder),Tinea (fungal skin infection),Cushing disease (excessive pituitary gland hormones),Lichen planus (chronic skin inflammation),Lupus (systemic lupus erythematosus, SLE),Psoriasis (scaly skin disease),Melasma (choloasma),Prediabetes (high blood sugar),Cutaneous T cell lymphoma"
207,1.0,Chest,3.0,"Low heart rate,Slow heart rate (Bradycardia),Bradycardia (Slow heart rate)",11.0,"Myxedema coma (severely low thyroid hormone),Heart attack (acute myocardial infarction, AMI),Medication reaction,Hemochromatosis (excess iron disorder),Congenital heart disease (heart defect at birth),Congestive heart failure (CHF),Hypothyroidism (low thyroid hormone),Arrhythmia (abnormal heart rhythm),Atrioventricular node conduction block (heart block),Myocarditis (heart muscle inflammation),Hypoparathyroidism"
208,1.0,Feet,2.0,"Foot itching,Itching feet",26.0,"Contact dermatitis (contact skin irritation),Allergic reaction,Athlete's foot (tinea pedis),Psoriasis (scaly skin disease),Ant bite,Bed bugs,Bee sting (wasp sting),Body lice,Chicken pox (varicella virus),Cutaneous larva migrans (parasitic skin disease),Diabetes (high blood sugar),Hodgkin's disease (cancer of the lymph system),Lichen planus (chronic skin inflammation),Lymphoma (lymph node cancer),Medication reaction,Mosquito bite,Pityriasis rosea (inflammatory skin rash),Poison ivy (poison oak, poison sumac),Pregnancy,Primary sclerosing cholangitis (bile duct disease),Renal failure, chronic (ongoing kidney failure),Scabies (skin disease caused by mites),Sea lice,Shingles (herpes zoster),Insect bite,Swimmer's itch (cercarial dermatitis)"
209,2.0,"Head,Neck",1.0,Hot flashes,9.0,"Menopause (end of menstruation and fertility),Hyperthyroidism (elevated thyroid hormone),Febrile (fever) illness,Panic disorder,Pheochromocytoma (adrenal gland tumor),Thyroid cancer (neck gland cancer),Pancreatic cancer (tumor),Kidney cancer (tumor),Carcinoid syndrome (flushing, diarrhea)"
21,1.0,Head,3.0,"Dizziness,Lightheaded,Room spinning",75.0,"Arrhythmia (abnormal heart rhythm),Atrial fibrillation (irregular heart rate),Blood loss,Bradycardia (slow heart rate),Carbon monoxide poisoning (odorless, poisonous gas),Cerebral vascular accident (stroke),Dehydration,Ear infection, middle ear (otitis media),Hypotension (low blood pressure),Multiple sclerosis (MS),Panic disorder,Transient ischemic attack (TIA, reversible stroke),Ventricular tachycardia (VT, dangerous irregular heart beat),Benign positional vertigo (sensation of spinning),Acoustic neuroma (ear nerve tumor),Adjustment disorder (poor adjustment to life stressor),Alcoholism,Allergic reaction,Amphetamine abuse,Anemia (low red blood cell count),Anxiety disorder (generalized anxiety disorder, GAD),Brain tumor (cancer of the brain),Breast cancer (tumor),Cardiomyopathy (weakened heart),Chronic obstructive pulmonary disease (COPD, emphysema),Concussion,Drug reaction,Gastroenteritis (intestinal infection),Head injury,Heat exhaustion,Hypertensive emergency (severely high blood pressure),Hypoglycemia (low blood sugar),Intracranial hemorrhage (bleeding in brain),Labyrinthitis (dizziness and vertigo),Major depressive disorder (severe depression),Meniere's disease (dizziness and vertigo),Meningitis (spinal fluid infection),Migraine (type of headache),Pneumonia (lung infection),Post concussive syndrome (symptoms after a concussion),Postural hypotension (low blood pressure after standing),Premenstrual syndrome (PMS),Prescription drug abuse,Pulmonary embolism (blood clot in the lungs),Renal failure, acute (sudden kidney failure),Renal failure, chronic (ongoing kidney failure),Sepsis (serious blood infection),Sinusitis (sinus infection),Smoke inhalation,Stress,Upper respiratory tract infection (URI, common cold),Vasovagal syncope (fainting),Vertigo (spinning sensation),Vestibular neuronitis (labyrinthitis, vertigo),Viral infections,Wolff Parkinson White syndrome (WPW, additional electrical pathway in the heart),Seizure (abnormal brain electrical activity),Carotid artery stenosis (neck artery narrowing),Pseudotumor cerebri (increased pressure in the skull),HIV AIDS (Human Immunodeficiency Virus, Acquired Immune Deficiency Syndrome),Atrial flutter (irregular heart rate),Long QT Syndrome (inherited heart condition),Food poisoning,Thyroid cancer (neck gland cancer),Coronary artery disease (CAD, heart disease),Iron deficiency anemia (low red blood cell count),Medication reaction,Head injury in children,Takayasu's arteritis (Giant cell arteritis of the young),Arnold Chiari malformation,Decompression sickness (bends, caisson's disease),Supraventricular tachycardia (SVT),Traumatic brain injury,Pancytopenia,Cerebellar Ataxia"
210,1.0,Pelvis,,,1.0,Anorexia (eating disorder)
211,1.0,Pelvis,2.0,"Infertility (Female),Sterility (female)",13.0,"Pelvic inflammatory disease (PID, female reproductive organ infection),Endometriosis (uterine tissue outside the uterus),Polycystic ovarian syndrome (PCOS, female hormonal disorder),Fibroid (uterine muscle tumor),Medication reaction,Caffeine use,Anorexia (eating disorder),Bulimia nervosa (binge eating, vomiting),Stress,Malnutrition,Smoking (tobacco use disorder),Mayer Rokitansky Küster Hauser syndrome (MRKH, inherited vaginal abnormality),Turner syndrome (gonadal dysgenesis)"
212,2.0,"Head,Face",1.0,Increased facial hair,6.0,"Cushing disease (excessive pituitary gland hormones),Pancreatic cancer (tumor),Polycystic ovarian syndrome (PCOS, female hormonal disorder),Medication reaction,Ovarian cancer (female organ cancer),Excessive hair growth (Hirsutism)"
213,1.0,Arms,1.0,Arm swelling,16.0,"Cellulitis (skin infection),Contusion (bruise, ecchymosis),Fracture (broken bone),Deep venous thrombosis (DVT, venous blood clot),Necrotizing fasciitis (life-threatening infection),Septic arthritis (joint infection),Common spider bite,Allergic reaction,Vasculitis (inflammation of the arteries),Vascular insufficiency due to peripheral artery disease (PAD, claudication, inadequate blood flow),Lymphangitis (lymph tissue inflammation),Muscle tear,Bone cancer (bone tumor),Sarcoma (soft tissue cancer),Essential thrombocythemia (excessive blood platelets),Arm swelling"
214,1.0,Legs,2.0,"Calf swelling,Leg swelling",18.0,"Achilles tendonitis (heel tendon inflammation),Achilles tendon rupture (heel tendon tear),Cellulitis (skin infection),Compartment syndrome (increased pressure inside muscles),Contusion (bruise, ecchymosis),Deep venous thrombosis (DVT, venous blood clot),Fracture (broken bone),Necrotizing fasciitis (life-threatening infection),Vascular insufficiency due to peripheral artery disease (PAD, claudication, inadequate blood flow),Vasculitis (inflammation of the arteries),Glomerulonephritis (kidney disease),Thrombophlebitis (superficial),Traumatic hip dislocation,Broken leg (leg fracture),Essential thrombocythemia (excessive blood platelets),Lymphadenitis,Beriberi (thiamine (vitamin B1) deficiency),Cardiomegaly (enlarged heart)"
215,,,,,5.0,"Hyperparathyroidism (elevated parathyroid hormone levels),Cancer (tumor),Sarcoidosis (inflammatory disease),Medication reaction,Dehydration"
216,1.0,Ear	Nose,1.0,Ear swelling,7.0,"Allergic reaction,Cellulitis (skin infection),Bee sting (wasp sting),Ear infection, outer (otitis externa),Folliculitis (hair follicle infection),Contusion (bruise, ecchymosis),Cauliflower ear (wrestlers ear)"
217,2.0,"Arms,Hands",2.0,"Wrist swelling,Hand, finger swelling",17.0,"Carpal tunnel syndrome (wrist nerve compression),Cellulitis (skin infection),Contusion (bruise, ecchymosis),De Quervain's tenosynovitis (hand tendon inflammation),Fracture (broken bone),Gout (uric acid crystals in the joint causing inflammation),Muscle tear,Overuse syndrome (injury from repetitive activity),Pseudogout (calcium deposit arthritis),Rheumatoid arthritis (type of chronic joint inflammation),Scaphoid fracture (broken hand bone),Septic arthritis (joint infection),Sprain (stretched, torn ligament),Bone cancer (bone tumor),Sarcoma (soft tissue cancer),Triangular fibrocartilage complex injury (wrist injury),Wrist sprain"
218,3.0,"Abdomen,Buttock/Rectum,Pelvis",2.0,"Maroon stools,Blood in stool",16.0,"Anal fissure (tear),Hemorrhoid (enlarged rectal veins),Diverticulosis (weakening of the large intestine wall),Colon cancer (large intestine tumor),Ulcerative colitis (large intestine inflammation),Crohn's disease (regional enteritis, Crohn's colitis, intestinal inflammation),Gastrointestinal bleeding (stomach, intestine bleeding),Colon polyps (large intestine tumors),Bacterial dysentery (bacterial infection of the intestines),Colonic diverticulitis (inflammation of pouches in the large intestine),Gastric ulcer (stomach ulcer),Gastritis (stomach inflammation),Gastroenteritis (intestinal infection),Intestinal volvulus (twisting of intestine),Irritable bowel syndrome (IBS, chronic intestinal pain and cramping),Duodenal cancer (small intestine)"
219,1.0,Arms,1.0,Arm cut (laceration),7.0,"Avulsions (forcible tissue detachment),Traumatic nerve injury,Tendon laceration (tendon cut),Foreign body in a wound,Puncture wound, arm,Wound infection (cut infection),Blood vessel injury"
