_id,name,description,common_complications
188,Palliative therapy (care given to improve quality of life),"A medical treatment given to relieve symptoms caused by advanced disease. Palliative therapy does not alter the course of a disease, but can improve the quality of life for suffering patients.",None.
189,Pancreaticoduodenectomy (remove pancreas and duodenum),A surgical procedure for pancreatic cancer involving removal of the pancreas and part of the duodenum. It is also known as the Whipple procedure.,"Poor absorption of nutrients and diabetes after the procedure. Injury to the intestines, blood vessels or other internal organs of the abdomen. The surgery can result in post-operative pain, infection or blood clots of the legs (deep vein thrombosis) or lungs (pulmonary embolus). Patients can infrequently have bad reactions to the general anesthesia."
190,Pap test (screening exam for cervical cancer),"A diagnostic procedure to collect cells from the cervix for examination under a microscope. It is helpful in diagnosing cancer or cellular changes that may lead to cancer, and can show noncancerous conditions, such as infection or inflammation. May also be referred to as a Pap smear. ",None.
191,"Patient controlled anesthesia (PCA pump, self-administered pain pump)","A medical treatment giving the patient control over the amount of pain medicine that is used. When pain relief is needed, the person can receive a preset dose of pain medicine by pressing a button on a computerized pump that is connected to an IV. A PCA pumped is often used with patients having severe pain or immediately after surgery.",Overdose of medication causing depressed respiratory effort and rarely death.
192,Pelvic laparoscopy (camera examination inside lower abdomen),"A surgical procedure to examine and treat abdominal and pelvic organs involving a laparoscope which is inserted into the abdomen. It is helpful in detecting pelvic inflammatory disease, endometriosis, ovarian cysts, and other conditions.","Injury to the intestines, bladder, ureter (tube connecting kidney to the bladder), or pelvic blood vessels. The surgery can result in post-operative pain, infection or blood clots of the legs (deep vein thrombosis) or lungs (pulmonary embolus). Patients can infrequently have bad reactions to anesthesia."
193,"Percutaneous transhepatic cholangiography (PTC, x-ray of the bile ducts)","A diagnostic procedure to image the hepatic and common bile ducts. Contrast is injected through the skin into the liver or bile duct, and the ducts are then x-rayed to find the point of obstruction. It may be helpful in making the diagnosis of gallstones, liver cancer and other conditions. Since there are less invasive ways to image the biliary tree (MRI or CT scan), the procedure is usually only done to drain a blocked a biliary system.","Infection and/or pain. Damage to the liver, intestine, liver blood vessels or bile ducts."
194,"Percutaneous transluminal coronary angioplasty (PTCA, minimally invasive therapy to open up blocked heart arteries)","A procedure to open clogged or blocked arteries in the heart. A catheter with a tiny balloon at its tip is inserted into an artery in the groin or arm. The catheter is advanced into the narrowed coronary artery, with a tiny balloon at its tip. The balloon is then inflated and deflated sequentially to break open the narrowing and allow more passage of blood. A wire mesh stent is often left inside the vessel to keep it open.","Infection, pain and swelling at the site of catheter insertion. Damage to the blood vessels of the heart, leg, or arm rarely requiring immediate surgery. The contrast used can injure the kidneys, especially if the person has underlying kidney disease. Some patients can be allergic to the contrast causing a reaction from a rash to life threatening swelling or drop in blood pressure."
195,PET CT scan (positron emission tomography and computed tomography),A diagnostic procedure combining CT (computed tomography) and PET (positron emission tomography). This can provide a more complete picture of a tumor's location and growth or spread than either test done independently. It can also be used to help find the site of infection.,Rarely allergic reactions can occur.
196,Plasmapheresis (replacement of the liquid in blood),"The procedure consists of removal of blood, separation of blood cells from plasma, and return of the blood cells to the body's circulation. The blood cells are typically diluted with a saline solution and a blood protein called albumin. Plasmapheresis is done to treat diseases such as TTP (thrombotic thrombocytopenic purpura) and Guillain-Barre.",Infection of the blood from the insertion of the catheter. Allergic reactions ranging from a rash to life threatening swelling and low blood pressure can occur.
197,"Photodynamic therapy (PDT, cancer therapy using light)",A treatment used to kill cancer cells or other abnormal cells by first administering  a photo-active medication followed by special light therapy. ,Sunburn like skin and allergic reactions.
198,Photorefractive keratectomy (remove surface layer of cornea),A procedure to remove the surface layer of the cornea by gentle scraping and use of a computer-controlled excimer laser to reshape the stroma. The procedure is generally done to improve vision.,"Infection, pain, and decreased vision."
199,Pneumonectomy (remove lung),A surgical procedure to remove an entire lung. It is usually done to treat lung cancer.,"Injury to the heart, blood vessels of the heart or lungs, or other organs in the chest. The surgery can result in post-operative pain, infection or blood clots of the legs (deep vein thrombosis) or lungs (pulmonary embolus). Patients can infrequently have bad reactions to the general anesthesia including allergic reactions and very rarely a heart attack or stroke."
200,Port (medical appliance installed beneath skin),A surgically implanted device for drawing blood and infusing medications into the blood stream without repeated needle sticks into veins. Also called a Port-A-Cath.,"Infection, pain and/or the formation of a blood clot in the vein."
201,Positron emission tomography scan (PET scan),"A diagnostic procedure involving a computerized image of the metabolic activity of body tissues used to determine the presence of disease, most often cancer or infection.",Rarely an allergic reaction can occur.
202,Proctosigmoidoscopy (lower colon diagnostic test),"A procedure to image the lower colon with a thin, lighted tube called a sigmoidoscope. Reasons for the procedure include screening for colorectal cancer and to help diagnose infections and inflammatory bowel disease, such as Crohn's disease or ulcerative colitis. Also known as a sigmoidoscopy.",Pain and bloating. Injury to the rectum or lower colon. Colonic perforation can rarely occur.
203,Prostatectomy (remove prostate),A surgical procedure to remove part or the entire prostate. Radical (or total) prostatectomy is the removal of the entire prostate and some of the tissue around it.,"Impotence and problems urinating.  Injury to the bladder, intestines, or pelvic blood vessels. The surgery can result in post-operative pain, infection or blood clots of the legs (deep vein thrombosis) or lungs (pulmonary embolus). Patients can infrequently have bad reactions to the general anesthesia including allergic reactions and very rarely a heart attack or stroke."
204,Proton magnetic resonance spectroscopic imaging (imaging test that measures cell activity),"A diagnostic procedure to detect and measure activity at the cellular level. It provides chemical information and is used in conjunction with magnetic resonance imaging (MRI), which gives anatomical information. It can also be called 1H-nuclear magnetic resonance spectroscopic imaging.",Complications are rare.
205,"Radial keratotomy (RK, correct nearsightedness)",A surgical procedure to correct myopia (nearsightedness) by flattening the cornea.,"Infection, pain and decreased vision. "
206,Radiation surgery (radiosurgery),A procedure involving radiation therapy delivered to a tumor while sparing the healthy tissue. Also called radiosurgery and stereotactic external beam irradiation. It is used most frequently in the treatment of brain tumors.,"Injury to surrounding normal brain causing weakness, numbness, and loss of other brain function."
207,Radiation therapy (radiotherapy),"A procedure using high-energy radiation to kill cancer cells. The source of the radiation may be x-rays, neutrons or gamma rays. ",Damage to normal surrounding tissues.
208,Radical cystectomy (complete bladder removal),A surgical procedure to remove the bladder as well as nearby tissues and affected organs for the treatment of bladder cancer.,"Injury to the intestines or pelvic blood vessels. The surgery can result in post-operative pain, infection or blood clots of the legs (deep vein thrombosis) or lungs (pulmonary embolus). Patients can infrequently have bad reactions to the general anesthesia including allergic reactions and very rarely a heart attack or stroke. "
209,Radical lymph node dissection (surgical removal of lymph nodes and surrounding tissue),A surgical procedure in which the lymph nodes are removed and examined to see whether they contain cancer. Also called lymph node dissection or lymphadenectomy.,"Injury to nerves and surrounding blood vessels. The arm or leg being served by the lymph nodes can have chronic swelling called lymphedema. The surgery can result in post-operative pain, infection or blood clots of the legs (deep vein thrombosis) or lungs (pulmonary embolus). Patients can infrequently have bad reactions to the general anesthesia."
210,"Radical mastectomy (remove breast, chest muscles and lymph nodes)","A surgical procedure in which the breast, chest muscles, and all of the lymph nodes under the arm are removed, usually for breast cancer.","Fluid collections (seroma), injury to blood vessels or nerves. Chronic swelling may occur in the upper extremity that the lymph nodes were removed. The surgery can result in post-operative pain, infection or blood clots of the legs (deep vein thrombosis) or lungs (pulmonary embolus). Patients can infrequently have bad reactions to the general anesthesia."
211,Radical prostatectomy (surgical removal of prostate and surrounding tissue),A surgical procedure to remove the entire prostate and some of the tissue around it. ,"Impotence and problems urinating. Injury to the bladder, intestines, or pelvic blood vessels. The surgery can result in post-operative pain, infection or blood clots of the legs (deep vein thrombosis) or lungs (pulmonary embolus). Patients can infrequently have bad reactions to the general anesthesia including allergic reactions and very rarely a heart attack or stroke."
212,Radiofrequency ablation (destroy tissue with heat),A procedure involving electrodes used to heat and destroy abnormal tissue. It is used in the treatment of a variety of conditions including certain types of arrhythmias and cancers.,Injury to surrounding normal tissue and structures.
213,Radionuclide scanning (body part imaging with small amounts of radioactive material),A diagnostic procedure where a patient swallows or is injected with a small amount of radioactive material and then a machine measures the radioactivity in certain organs.,Complications are rare.
214,Reconstructive surgery (reshape body part),"A surgical procedure to reshape or reconstruct a part of the body changed by a previous surgery, accident or disease.","Injury to blood vessels or nerves. The surgery can result in post-operative pain, infection or blood clots of the legs (deep vein thrombosis) or lungs (pulmonary embolus). Patients can infrequently have bad reactions to anesthesia."
215,Refractive surgery (vision correction surgery),"A surgical procedure to improve vision by correcting refractive errors, such as nearsightedness, farsightedness, or astigmatism.","Infection, pain, or decreased vision."
216,Resection (remove tissue),"A surgical procedure to remove tissue, organ or structure from the body. A resection could entail a partial or complete removal of a structure or organ. ","The surgery can result in post-operative pain, infection or blood clots of the legs (deep vein thrombosis) or lungs (pulmonary embolus). Patients can infrequently have bad reactions to anesthesia."
217,Rhinoplasty (nose job),"A surgical procedure to reduce excess cartilage and bone in the nose for cosmetic reasons, providing a straighter and/or smaller appearance. The procedure can also help to correct breathing problems associated with the nose. ",Poor cosmetic result. The surgery can result in post-operative pain and/or infection. Patients can infrequently have bad reactions to anesthesia.
218,Robotic surgery (robot assisted surgery),"A surgical procedure assisted by robotic arms that perform the surgery with a variety of surgical tools. The robotic arms give surgeons more intricate motion and tool control for complex surgeries. It is used for a variety of surgeries within surgical subspecialties such as gynecology, urology, general surgery, and cardiothoracic surgery.","Injury to normal surrounding structures. The surgery can result in post-operative pain, infection or blood clots of the legs (deep vein thrombosis) or lungs (pulmonary embolus). Patients can infrequently have bad reactions to anesthesia."
219,Salpingectomy (remove fallopian tubes),"A surgical procedure to remove one or both fallopian tubes. The most common reasons for removal are tumors, ectopic pregnancy or in association with removal of the ovaries.","Injury to the bladder, intestines or pelvic blood vessels. The surgery can result in post-operative pain, infection or blood clots of the legs (deep vein thrombosis) or lungs (pulmonary embolus). Patients can infrequently have bad reactions to anesthesia."
220,Salpingo oophorectomy (remove fallopian tubes and ovaries),"A surgical procedure to remove the fallopian tubes and ovaries. Reasons why this surgery may be needed include cysts, tumors, ectopic pregnancy, or after twisting of the ovary (torsion).","Injury to the bladder, intestines or pelvic blood vessels. The surgery can result in post-operative pain, infection or blood clots of the legs (deep vein thrombosis) or lungs (pulmonary embolus). Patients can infrequently have bad reactions to anesthesia."
221,Sclerotherapy (collapse varicose veins),A procedure to remove spider veins and varicose veins. A chemical called a sclerosing solution is injected into the veins causing them to collapse and contract. The procedure is best suited for medium sized spider veins and larger since a needle must be inserted into the vein. It may require multiple treatments for the desired effect.,"Scarring, bleeding, infection, skin numbness, damage to deeper structures, skin bumps, skin puckering, skin discoloration, skin ulceration and pain."
222,Sigmoidoscopy (camera examination of the lower colon),"A procedure to image the lower colon with a thin, lighted tube called a sigmoidoscope. Reasons for the procedure include screening for colorectal cancer and to help diagnose infections and inflammatory bowel disease, such as Crohn's disease or ulcerative colitis.",Pain and abdominal boating. Injury to the rectum or lower colon. Colonic perforation can rarely occur. 
223,Sonogram (imaging test using sound waves),"A diagnostic imaging procedure. The ultrasound device makes sound waves that bounce off tissues and create echoes. Its used routinely during pregnancy to image the fetus. The pictures can be used to diagnose abnormalities of vascular structures, liver, gallbladder, spleen, appendix, pancreas, kidneys, thyroid, heart and other conditions. Also known as an ultrasound test.  ",None.
224,Spinal fusion (fusing vertebra),"A spinal fusion is the locking together (fusing) of multiple spinal vertebrae of the back to help relieve the pressure placed on the nerves from movement of the spine. It may also include removing the disc between two vertebrae and inserting bone graft into the space created between the two vertebral bodies. The bone graft can be taken from the patient's hip (autograft bone) during the spine fusion surgery, harvested from cadaver bone (allograft bone) or manufactured (synthetic bone graft substitute). The surgery may be done to relieve the pain and numbness caused by herniated disc, spinal stenosis, or spondylolisthesis. ","Complications include: vertebrae failing to fuse, hardware fracture, bone graft migration, nerve damage or persistent pain. All surgery comes with the risk of infection and blood clots. Patients can infrequently have bad reactions to the general anesthesia."
225,Splenectomy (remove spleen),"A surgical procedure to remove the spleen. The major reasons for splenectomy are trauma, spontaneous rupture, cancer, low platelets (thrombocytopenia), and other blood diseases.","Without a spleen, there is an increased risk of certain bacterial infections. The surgery can result in damage to the intestines or adjacent blood vessels. Post-operative pain, blood clots of the legs (deep vein thrombosis) or lungs (pulmonary embolus). Patients can infrequently have bad reactions to anesthesia."
226,Stent (mesh tube to treat narrow or weak blood vessels),"A medical device placed inside a blood vessel to hold it open after it is expanded. It is commonly used for keeping coronary arteries open after angioplasty. Some of the coronary stents contain medications to help prevent the vessel from closing again (drug eluding stent). Stents are also used to hold open other narrowed structures, such as a ureters, bile ducts and pancreatic ducts.",The artery with the stent can become blocked with the formation of a new blood clot or scar tissue. Rarely placement of a coronary stent can tear the artery requiring emergent surgery to bypass the vessel.
227,Stereotactic biopsy (removal of tissue aided by computer and scanner),"A diagnostic procedure using computer and scanning technologies to find a tumor site and guide the removal of tissue for examination under a microscope. It can be helpful in obtaining a biopsy in complex presentations of breast cancer, brain tumors, and other types of cancer.","Infection, pain or injury to surrounding normal tissue."
228,Stereotactic radiosurgery (brain tumor treatment),A medical procedure involving a rigid head frame that is attached to the skull for the accurate administration of radiation therapy through openings in the head frame. The radiation is more accurately aimed using detailed CT scan and MRI imaging. This allows for treatment of a tumor while decreasing  radiation exposure to normal brain tissue. ,"Injury to surrounding normal brain causing weakness, numbness, and loss of other brain function."
229,Stress test (test for heart disease),"A medical diagnostic procedure used to record electrical activity of the heart during exercise. This helps a doctor determine how well your heart can handle exercise. This test is commonly used to help diagnose coronary artery disease, predict risk for a heart attack, or to monitor known heart conditions.  Also known as an exercise stress test.  ",Rarely a patient can have a heart attack or abnormal beating of the heart (arrhythmia) during the procedure.
230,Surgery (invasive treatment or diagnostic procedure),"A procedure that cuts into tissue to diagnose, treat, remove, and/or repair the body.","Potential complications are almost none to some that are very serious, including death. For example, major surgery can result in post-operative pain, infection or blood clots of the legs (deep vein thrombosis) or lungs (pulmonary embolus). Patients that need general anesthesia have infrequent allergic reactions and very rarely a heart attack or stroke."
231,Swan Ganz catheter placement (tube in jugular vein to measure heart pressures),A procedure to thread a special intravenous catheter through the skin and into the internal jugular vein. The catheter is advanced into the heart to obtain accurate readings of pulmonary artery pressure and left atrial pressure.,Infection and pain at the insertion site. Injury to the blood vessel and/or blood clot in the vessel. Insertion of the catheter can cause a collapsed lung (pneumothorax) or bleeding in the lung.
232,Thallium stress test (chemical test for heart disease),"A diagnostic procedure used to take pictures of the heart during exercise. A small amount of radioactive material is injected into a vein and is used to visualize blood flow to the heart muscle. This helps a doctor determine cardiac blood flow during exercise. This test is commonly used to help diagnose coronary artery disease, predict risk for a heart attack, or to monitor a known heart condition.",Rarely patients can have a heart attack or a life threatening abnormal beating of the heart (arrhythmia) during the exercise. 
233,Thermal ablation (heat to remove tissue),A surgical procedure using heat to remove or destroy tissue.,Damage to adjacent normal structures and tissue.
234,Thigh lift (remove skin and fat from thighs),"A surgical procedure involving removal of the excess skin and fat of the thighs that can occur with aging, weight loss, and loss of skin elasticity. It can improve the appearance of loose, saggy thighs and is often done in conjunction with other procedures, such as, tummy tuck or arm lifts, in patients who have significant weight loss after gastric bypass surgery.","Injury to blood vessels and nerves, and a poor cosmetic result. The surgery can result in post-operative pain, infection or blood clots of the legs (deep vein thrombosis) or lungs (pulmonary embolus). Patients can infrequently have bad reactions to anesthesia."
235,Thoracoscopy (camera examination inside chest),A surgical procedure using an endoscope to examine the inside of the chest. Reasons for the procedure include needing a direct view of the lung and the lining surround the lung and taking biopsies to rule out cancer and other conditions.,"Injury to blood vessels, and lungs. The surgery can result in post-operative pain, infection or blood clots of the legs (deep vein thrombosis) or lungs (pulmonary embolus). Patients can infrequently have bad reactions to anesthesia."
236,Thoracotomy (invasive surgery to examine inside the chest),"A surgical procedure to open the chest which is useful in the diagnosis and/or treatment of lung cancer, heart disease, and other conditions.","Injury to the heart and lungs. The surgery can result in post-operative pain, infection or blood clots of the legs (deep vein thrombosis) or lungs (pulmonary embolus). Patients can infrequently have bad reactions to the general anesthesia including allergic reactions and very rarely a heart attack or stroke."
237,Thyroidectomy (remove thyroid),"A surgical procedure to remove part or the entire thyroid gland. The thyroid gland is removed because of a worrisome nodule, cancer, an overactive thyroid gland (hyperthyroidism), or non-cancerous thyroid growth or inflammation (goiter).","Injury to the parathyroid gland causing low calcium levels. Nerve injury resulting in hoarseness. The surgery can result in post-operative pain, infection or blood clots of the legs (deep vein thrombosis) or lungs (pulmonary embolus). Patients can infrequently have bad reactions to the general anesthesia."
238,Tilt table test (evaluates fainting spells),"A diagnostic test to evaluate unexplained positional fainting spells or syncope.  Heart rate, blood pressure and other measurements are recorded while the patient is tilted at different angles. The test is usually performed to help diagnose vasodepressor syncope. ","Feeling lightheaded, transient nausea, sweating, weakness. Vomiting may occur."
239,Total hip replacement,A surgical procedure to replace the hip with an artificial joint. The cup shaped hip socket and the ball of the thigh bone are replaced with metal and plastic components.  The most common reasons for hip replacement are arthritis and other conditions that cause significant damage to the cartilage and bone of the joint.,"Joint dislocation, bone fracture, hardware fracture, loosening of the joint, and change in leg length are all risks. The surgery can result in post-operative pain, infection or blood clots of the legs (deep vein thrombosis) or lungs (pulmonary embolus). Patients can infrequently have bad reactions to the general anesthesia including allergic reactions and very rarely a heart attack or stroke."
240,Total knee replacement,A surgical procedure to replace the knee with an artificial joint. The damaged cartilage and bone of the knee joint are replaced with a combination of metal and plastic components. The most common reason for knee replacement is arthritis or other conditions which cause significant damage to the cartilage and bone of the joint.,"Knee stiffness, blood loss and nerve injury are risks. The surgery can result in post-operative pain, infection or blood clots of the legs (deep vein thrombosis) or lungs (pulmonary embolus). Patients can infrequently have bad reactions to the general anesthesia including allergic reactions and very rarely a heart attack or stroke."
241,"Tracheostomy (tracheotomy, opening in windpipe)","A surgical procedure to establish an opening (stoma) into the windpipe (trachea). It may be needed after part of the windpipe is removed for cancer, because of traumatic injury or if the person has severe lung damage requiring prolonged use of a breathing tube. ","Scarring of the trachea (stenosis), infection, and damage to the blood vessels of the neck. Patients can infrequently have bad reactions to anesthesia."
242,Transabdominal ultrasound (ultrasound image of abdomen),"A diagnostic imaging procedure. The ultrasound device is pressed against the abdomen, and sound waves from the device bounce off tissues and create echoes. The pictures can be used to diagnose abnormalities of the liver, gallbladder, spleen, appendix, pancreas, kidneys and aorta (for example, an aortic aneurysm). Also known as abdominal ultrasound.  ",None.
243,"Transcutaneous electric nerve stimulation (TENS, pain management)",A medical device sometimes helpful for treating chronic pain. A small power pack connected to two electrodes delivers mild electric currents to specific areas of the skin.,"Usually none, but some patients get little or no pain relief from the device)."
244,Transfusion (blood replacement through a vein),"A medical treatment providing blood components or whole blood into the bloodstream. It may involve the person's stored blood, or blood donated for this use. Transfusions most often occur for low blood count from bleeding or anemia. ","Even after cross matching of blood reactions can occur. Severe reactions cause fever, shortness of breath, chest pain and rarely shock. Milder reactions include hives, itching and a feeling of uneasiness. Infection is another rare complication. "
245,Transplantation (replace organ),A surgical procedure to replace an organ with one from another person.,"The surgery can result in post-operative pain, infection or blood clots of the legs (deep vein thrombosis) or lungs (pulmonary embolus). Patients can infrequently have bad reactions to the general anesthesia. The medications used to prevent organ rejection depress the immune system leading to increased risk of infection. Some of these infections can be life threatening."
246,Transrectal ultrasound (ultrasound image through rectum),A diagnostic imaging procedure. An ultrasound (sonogram) consists of high frequency sound waves. An ultrasound transducer is inserted into the rectum to view the prostate.,Rarely minor injury to the rectum can occur.
247,"Transurethral resection (TURP, removal of part or all of prostate)",A surgical procedure performed with a special instrument inserted through the urethra. It is done most often to treat an enlarged prostate.,"Impotence, inability to urinate, semen entering the bladder (retrograde ejaculation), and bloody urine. The surgery can result in post-operative pain, infection or blood clots of the legs (deep vein thrombosis) or lungs (pulmonary embolus). Patients can infrequently have bad reactions to the general anesthesia including allergic reactions and very rarely a heart attack or stroke."
248,Transvaginal ultrasound (ultrasound image through vagina),"A diagnostic procedure used to examine the uterus, fallopian tubes, ovaries and bladder using sound waves to create images. An ultrasound probe is inserted into the vagina to get the most detailed pictures.",None.
249,Tummy tuck (abdominoplasty),"A surgical procedure involving an incision in the bikini area, just above the pubic hair line. The skin and fat of the abdomen is then lifted off of the muscle layer. If needed, the muscle layer is tightened with a row of stitches above and below the belly button. Meanwhile, the belly button is left attached to the muscle layer. The excess skin and fat is then pulled and stretched down to the incision and removed. A small opening is then created in order to relocate the belly button.",Collection of fluid in the abdominal wall and infection. The surgery can result in post-operative pain or blood clots of the legs (deep vein thrombosis) or lungs (pulmonary embolus). Patients can infrequently have bad reactions to anesthesia. The procedure might not result in the desired cosmetic outcome.
250,Ultrasound test (imaging test using sound waves),"A diagnostic imaging procedure. The ultrasound device makes sound waves that bounce off tissues and create echoes. Its used routinely during pregnancy to image the fetus. The pictures can be used to diagnose abnormalities of vascular structures, liver, gallbladder, spleen, appendix, pancreas, kidneys, thyroid, heart and other organs. Also known as a sonogram.  ",None.
251,Upper arm lift (remove skin and fat from arm),A surgical procedure involving removal of unwanted skin and fat from the inner side of the upper arm. ,"The surgery can result in post-operative pain, poor cosmetic results, and/or infection. Patients can infrequently have bad reactions to anesthesia."
252,Upper GI series (x-ray image of upper digestive tract),"A diagnostic procedure to x-ray the esophagus, stomach and small intestine. The x-rays are taken after the person drinks a barium solution, which coats the inner lining of the upper digestive organs.", Complications are very rare. A person with swallowing difficulties might have barium enter the airway causing aspiration pneumonia.
253,Urostomy (artificial opening for the urinary system),"A surgical procedure creating an opening from the urinary tract to the outside of the body, for the excretion of urine. It is usually done to relieve obstruction of urinary flow.","The surgery can result in post-operative pain, infection or blood clots of the legs (deep vein thrombosis) or lungs (pulmonary embolus). Patients can infrequently have bad reactions to anesthesia."
254,Uterine ablation (remove uterus lining),A surgical procedure that scars the lining of the uterus. A common indication is for excessive menstrual bleeding. The procedure can sometimes prevent a hysterectomy.,"Pain, infection, vaginal bleeding, damage to the cervix, and perforation of the uterus."
255,Uterine fibroid embolization (cut blood supply to uterine growths),A procedure to cut off the blood supply for uterine fibroids to shrink them. It is also called uterine artery embolization.,"Pain. Diminished blood supply to the ovaries, which could result in infertility. Extensive damage to the uterus because of decreased blood supply, which might require hysterectomy. Infection and blood clots can also occur."
256,Vaginal hysterectomy (removal of the uterus through the vagina),A surgical procedure to remove the uterus through the vagina. It avoids needing to make an abdominal incision and scar.,"Injury to the bladder or pelvic vessels. The surgery can result in post-operative pain, infection or blood clots of the legs (deep vein thrombosis) or lungs (pulmonary embolus). Patients can infrequently have bad reactions to anesthesia."
258,Voiding cystourethrogram (x-ray of bladder function),A procedure that uses x-rays to evaluate the bladder and lower urinary tract. A small tube (catheter) is inserted through the urethra and into the bladder and the bladder is filled with contrast dye. X-rays are taken while the patient empties their bladder. This test can be used to diagnose injuries and diseases of the bladder and urethra.,Rarely injury to the urethra and urinary infection.
259,Xeroradiography (x-ray on paper),A diagnostic procedure where a picture of the body is recorded on paper rather than on film.,Complications are rare.
260,X-ray (image bones and soft tissue),"A diagnostic test to image parts of the body, including some soft tissues and bones. In high doses, x-rays are used to treat cancer.",Multiple exposures to radiation increase the risk of cancer later in life. 
261,Bariatric surgery (weight loss surgery),"Bariatric surgery, also called weight loss surgery, is a general description of surgery that helps obese people lose weight. The two most common procedures performed are gastric bypass surgery and gastric banding. These procedures result in significant long-term weight loss, better blood sugar control in people with type 2 diabetes, and improvement in cardiovascular risk factors.","Bariatric surgery can result in an intra-abdominal infection, intestinal obstruction, or damage to other organs in the abdomen. The surgery can result in post-operative pain, wound infection and/or blood clots of the legs (deep vein thrombosis) or lungs (pulmonary embolus). Patients can infrequently have bad reactions to the general anesthesia including allergic reactions and very rarely a heart attack or stroke. Some patients experience persistent frequent vomiting, low blood sugar, and nutritional deficiencies (B12 and vitamin D are the most common)."
262,Gastric banding (stomach stapling),"Gastric banding is one of the most common types of bariatric surgery, a surgical procedure performed to help obese people lose weight. The surgery is often done through a laparoscope. An adjustable band is placed around the stomach, which decreases the amount of food a person can consume. Sutures or staples can be used instead of the band to make the stomach smaller. Gastric banding usually results in significant long-term weight loss, better blood sugar control in people with type 2 diabetes, and improvement in cardiovascular risk factors.","After the surgery, infection and blood clots in the legs and lung are always a possibility. Other complications include frequent vomiting, low blood sugar, and nutritional deficiencies. Patients can infrequently have bad reactions to anesthesia."
263,Tooth extraction (remove tooth),"Tooth extraction is the removal of a tooth from its socket in the bone. A tooth may need to be extracted if it is too damaged to be repaired with a filling, crown, or other treatment. A very loose tooth may also require extraction if too much bone has been lost. Wisdom teeth, also called third molars, are often extracted. Sometimes they get stuck in the jaw (impacted) and do not come in. If pain and swelling occur, they need to be extracted. Most simple extractions can be done using just a local anesthetic. Surgical extractions may also use anesthesia through a vein (intravenous). Some people may need general anesthesia.","Discomfort, swelling, and some bleeding are common after tooth extraction. The level of pain and how long it lasts will depend on how difficult it was to remove the tooth. Dry socket develops in about 3% to 4% of all extractions. This occurs when a blood clot doesn't form in the hole or the blood clot breaks off or breaks down too early. Infection is possible but unlikely. Other risks include accidental damage to nearby teeth, an incomplete extraction, fractured jaw, hole in the sinus, soreness in the jaw muscle or joint, or numbness."
264,Myectomy surgery (removal of muscle),"Surgical procedure to remove a small amount of muscle from an organ.  For example, surgery can be performed on the heart to remove thickened muscle blocking blood flow or the uterus to remove fibroids. Surgical method may vary depending on the location of the procedure on the body. ","The surgery can result in damage to nerves and blood vessels, post-operative pain, infection or blood clots of the legs (deep vein thrombosis) or lungs (pulmonary embolus). Patients can infrequently have bad reactions to anesthesia."
265,Gamma knife radiosurgery (noninvasive brain surgery),A type of stereotactic radiosurgery used to treat brain tumors. The medical procedure involves a rigid head frame that is attached to the skull for the accurate administration of radiation therapy through openings in the head frame. The radiation is more accurately aimed using detailed CT scan and MRI imaging. This allows for treatment of a tumor while decreasing the amount of radiation given to normal brain tissue. Gamma knife surgery is also used to treat abnormal blood vessel formations (AVMs) and trigeminal neuralgia.,"Injury to surrounding normal tissue. When used for brain tumors, it may result in weakness, numbness, and loss of other brain function."
266,Exercise stress test (heart test during exercise),"A medical diagnostic procedure used to record electrical activity of the heart during exercise. This helps a doctor determine how well your heart can handle exercise. This test is commonly used to help diagnose coronary artery disease, predict risk for a heart attack, or to monitor known heart condition.  Also known as a stress test.  ",Rarely a patient can have a heart attack or abnormal beating of the heart (arrhythmia) during the procedure.
267,Kyphoplasty (spinal fracture treatment),"A surgical procedure for compression fractures of the spine (vertebra). A small incision is made in the back. Using x-ray guidance, a needle is inserted at the level of the compression fracture in the spine.  A balloon is first inflated in the fracture to restore height. A cement-like substance that solidifies is then injected into a fractured vertebra to stabilize it.
","Pain and infection at the skin puncture site. Accidental injection of cement into the spinal canal can cause nerve damage and paralysis on rare occasions. The surgery can result in post-operative pain, infection or blood clots of the legs (deep vein thrombosis) or lungs (pulmonary embolus). Patients can infrequently have bad reactions to anesthesia. "
268,Cardiopulmonary resuscitation (CPR),"CPR can be a life-saving technique. It helps maintain circulation with or without breathing until emergency medical help arrives. CPR can be used on people who have had a heart attack, drowned or other serious illness where there is no heart beat or breathing. Here is what the American Heart Association recommends for untrained people at http://handsonlycpr.org/. It's not normal to see an adult suddenly collapse but if you do call 911 and push hard and fast in the center of the chest. Don't be afraid. Your actions can only help. Take a minute and look around this site and invite your friends! Increasing the number of people who know about Hands-Only TM CPR will increase the chance to save a life. ","While broken ribs and vomiting can be complications of CPR, the American Heart Association believes not taking action with someone who has just collapsed is more harmful than the potential complications."
269,Urine Cortisol 24 hour collection (urine test to measure hormone from adrenal gland),A urine test that measures the amount of the steroid hormone cortisol excreted into the urine over a 24-hour period. The test is typically done to diagnose over active adrenal glands (Cushing's  disease).,None.
270,"Arterial blood gas (ABG, analysis of arterial blood)","The test measures the acidity (pH) and the levels of oxygen and carbon dioxide in the blood. A needle is inserted into an artery to obtain a small amount of blood. An ABG measures how well the lungs are functioning and is useful in asthma, COPD (chronic obstructive pulmonary disease) and other lung conditions. It is also helpful in disorders that affect the acidity level of blood, such as diabetic ketoacidosis.",Pain and swelling at the needle insertion site. Rarely there can be damage to the artery with bleeding.
